lon,lat,alt,dist_hav_2d,dist
0.20802486712208496,0.9980119284294092,949.4750959999999,0.0,0.0
0.20776385725115074,0.9976463060717133,947.5065920000001,8.728506140241548e-05,2.0239318869
0.20365888382694872,0.9944014076460861,947.5065920000001,0.0010317473136259186,23.9237534318
0.20190299924081734,0.9906537784786066,947.5065920000001,0.0018665388651801327,43.2805736363
0.20202164009093543,0.986380567171645,950.7874320000001,0.0027634879614026227,64.0786786912
0.20168944570993036,0.9859692420191761,951.4436,0.0028647588217223722,66.4269078168
0.20005220197425427,0.9833641827198821,952.7559359999999,0.003470560581061563,80.4740022241
0.19964882308284115,0.9824044240306259,955.3806079999999,0.0036819878661084665,85.3764954697
0.19948272589200144,0.982130207262151,956.0367759999999,0.0037453339084499004,86.8453387396
0.19846241457862543,0.9805077580494185,959.973784,0.0041226745408249775,95.5949658329
0.1971573652239544,0.9785196864788278,963.254624,0.004588883446290675,106.4052357069
0.19495064540602547,0.9761431411530734,967.191632,0.005199216319523493,120.5573958121
0.19082194381179984,0.9729210941249138,967.191632,0.006142867701165532,142.4384152069
0.18690679574778676,0.9700189666598397,969.160136,0.007014953353248215,162.6599964374
0.18455770690971612,0.9687164370101927,970.472472,0.007478613297871835,173.4111620037
0.18144931662852928,0.9662484860948926,973.753312,0.008195430502973347,190.032439175
0.17819855732720072,0.963369210027286,977.0341520000001,0.008991483970442667,208.4910158272
0.17634776006063768,0.961838166403937,981.6273279999999,0.009427719597126995,218.6062770284
0.17494779802587218,0.9608784077146807,985.5643359999999,0.00972835859319529,225.5773765592
0.1733342824602197,0.9598957976281192,988.8451759999999,0.01005805023765663,233.2221375452
0.17138857251322498,0.9585932679783098,993.438352,0.010471506086361987,242.8091901585
0.16880220197424375,0.9570622243551231,996.719192,0.01099425453486604,254.930476857
0.16445994684879395,0.9541600968898866,998.031528,0.011916311138825738,276.3107649876
0.15980922551236268,0.9518292543589052,998.031528,0.012804595429299931,296.9079539136
0.15463648443440023,0.949795479993704,998.031528,0.013733197018511589,318.440004604
0.14934510250564526,0.9479902196020423,999.343864,0.014657981222576099,339.8835392597
0.1481112376613823,0.9475103402573329,999.343864,0.014878979482799115,345.0079605367
0.14531131359151409,0.945865039647133,998.031528,0.015443328228125087,358.0938586577
0.14023348519364612,0.9438998194740098,999.343864,0.01635189958960402,379.1614562566
0.13643697798008833,0.9419803020954972,1000.000032,0.017078978638992326,396.0206810622
0.1320709946849521,0.9391924316172741,1003.280872,0.017988274472511653,417.1050774356
0.13147779043267563,0.9389182148487991,1003.93704,0.018098983013337837,419.6721438079
0.12632877752473679,0.9363131555495051,1005.2493759999999,0.019085285443100074,442.5421390356
0.12184415337880808,0.9338452046343675,1001.312368,0.01996815888362922,463.013863288
0.12070520121497677,0.9331139599186509,1000.6562,0.020205904530341382,468.5266164169
0.11617312072900082,0.930577454811435,1001.312368,0.02110337496894682,489.3368101552
0.11171222475309572,0.9280866524988296,1000.000032,0.021986020759084336,509.8032557393
0.10718014426711976,0.9255272959941462,999.343864,0.022886345427257905,530.6796322372
0.10233959757016235,0.9229679394894627,1000.000032,0.023826600035056194,552.4818885678
0.09837699316610204,0.9193802701036071,1001.968536,0.024809447432562096,575.271769858
0.09723804100227075,0.9178492264802581,1004.593208,0.025178508379131558,583.8294108331
0.09586180713752887,0.9158154521148945,1008.5302159999999,0.025658404761390884,594.957060569
0.09531605922529965,0.9149699504124892,1010.49872,0.025856023598142354,599.5393689128
0.09505504935470263,0.9146271794520985,1011.8110559999999,0.02593912573834552,601.4663088579
0.09403473804098944,0.9135760151732965,1015.0918959999999,0.026213212768819452,607.8217317888
0.09275341685634203,0.9125248508946567,1019.685072,0.026513870292636663,614.7932609338
0.0915670083521263,0.9119307145632588,1022.965912,0.02674042338287102,620.0464854379
0.090428056188295,0.9115422408080952,1026.90292,0.026939474926419047,624.6620148269
0.08976366742594769,0.9114965380133223,1029.5275920000001,0.02704583676695697,627.1282916119
0.08943147304460543,0.911473686616017,1031.4960959999999,0.027099017688342907,628.3614300303
0.08857725892173195,0.9111766184502369,1033.4646,0.02724880137059592,631.8345555088
0.08769931662849766,0.9110395100660806,1035.433104,0.027391704971837176,635.148148358
0.08587224753229543,0.910651036310917,1039.370112,0.027694200820940824,642.1623038712
0.08245539104012714,0.9092799524691919,1043.30712,0.02831029143704991,656.4479722677
0.08015375854210374,0.9072918808986011,1046.58796,0.02886592134012072,669.3317012824
0.07960801063021171,0.9042526450492083,1049.8688,0.029509624669884032,684.2576424902
0.0790859908883433,0.8999337309476362,1049.8688,0.030419778729138765,705.3619390665
0.07792331055415119,0.8957747766276879,1048.556464,0.031312020871700076,726.0509011197
0.07733010630221192,0.8937638536596295,1046.58796,0.03174448963405608,736.0788177432
0.07509965831425937,0.89001622449215,1043.30712,0.03260761003368808,756.0925162041
0.07168280182242828,0.8863828523115216,1043.963288,0.033544711700828185,777.8216633791
0.06871678056172036,0.8835949818331361,1046.58796,0.03429698485611,795.2650792646
0.06603549734230746,0.8811270309179984,1049.8688,0.03496854267928447,810.8368995782
0.06250000000002108,0.8774479559425971,1051.8373040000001,0.035924497020510246,833.003195191
0.0606254745634344,0.8751856676035314,1049.212632,0.0364854910343132,846.0113051087
0.05953397873965034,0.873723178172423,1046.58796,0.036838307288614106,854.192270509
0.05799164768406873,0.8714608898335197,1042.650952,0.03737296579091985,866.5897228798
0.05583238420652424,0.8687872763419852,1038.713944,0.038031238814430816,881.8535004514
0.05355447987852445,0.8646054706245692,1036.74544,0.038980993847764225,903.8760489359
